from	to	layer	kind	status	required_disposition	r2_classification	r2_disposition	r2_evidence
SubscriptionStripe	StripeClient	L3	integration	OPEN	orchestrator disposition under MOD-014, or re-layer	superseded candidate	replace the R1 L3 placement with an L4 integration candidate; never auto-dispose	Pure-Institute-Networking places cross-domain/provider joins at L4 to avoid L3 lateral edges
MessageDeliveryStripe	MessageDelivery	L3	integration	OPEN	orchestrator disposition under MOD-014, or re-layer	superseded candidate	replace the R1 L3 placement with an L4 integration candidate; never auto-dispose	Pure-Institute-Networking places cross-domain/provider joins at L4 to avoid L3 lateral edges
MessageDeliveryStripe	StripeClient	L3	integration	OPEN	orchestrator disposition under MOD-014, or re-layer	superseded candidate	replace the R1 L3 placement with an L4 integration candidate; never auto-dispose	Pure-Institute-Networking places cross-domain/provider joins at L4 to avoid L3 lateral edges
SubscriptionStripeDelivery	Subscription	L3	integration	OPEN	orchestrator disposition under MOD-014, or re-layer	superseded candidate	replace the R1 L3 placement with an L4 integration candidate; never auto-dispose	Pure-Institute-Networking places cross-domain/provider joins at L4 to avoid L3 lateral edges
SubscriptionStripeDelivery	MessageDelivery	L3	integration	OPEN	orchestrator disposition under MOD-014, or re-layer	superseded candidate	replace the R1 L3 placement with an L4 integration candidate; never auto-dispose	Pure-Institute-Networking places cross-domain/provider joins at L4 to avoid L3 lateral edges
SubscriptionStripeDelivery	SubscriptionStripe	L3	integration	OPEN	orchestrator disposition under MOD-014, or re-layer	superseded candidate	replace the R1 L3 placement with an L4 integration candidate; never auto-dispose	Pure-Institute-Networking places cross-domain/provider joins at L4 to avoid L3 lateral edges
SubscriptionStripeDelivery	MessageDeliveryStripe	L3	integration	OPEN	orchestrator disposition under MOD-014, or re-layer	superseded candidate	replace the R1 L3 placement with an L4 integration candidate; never auto-dispose	Pure-Institute-Networking places cross-domain/provider joins at L4 to avoid L3 lateral edges
SubscriptionStripeSQL	Subscription	L3	integration	OPEN	orchestrator disposition under MOD-014, or re-layer	superseded candidate	replace the R1 L3 placement with an L4 integration candidate; never auto-dispose	Pure-Institute-Networking places cross-domain/provider joins at L4 to avoid L3 lateral edges
SubscriptionStripeSQL	SubscriptionStripe	L3	integration	OPEN	orchestrator disposition under MOD-014, or re-layer	superseded candidate	replace the R1 L3 placement with an L4 integration candidate; never auto-dispose	Pure-Institute-Networking places cross-domain/provider joins at L4 to avoid L3 lateral edges
SubscriptionStripeSQL	SQL	L3	integration	OPEN	orchestrator disposition under MOD-014, or re-layer	superseded candidate	replace the R1 L3 placement with an L4 integration candidate; never auto-dispose	Pure-Institute-Networking places cross-domain/provider joins at L4 to avoid L3 lateral edges
SubscriptionStripeSQL	Migrations	L3	integration	OPEN	orchestrator disposition under MOD-014, or re-layer	superseded candidate	replace the R1 L3 placement with an L4 integration candidate; never auto-dispose	Pure-Institute-Networking places cross-domain/provider joins at L4 to avoid L3 lateral edges
SubscriptionSQL	Subscription	L3	integration	OPEN	orchestrator disposition under MOD-014, or re-layer	superseded candidate	replace the R1 L3 placement with an L4 integration candidate; never auto-dispose	Pure-Institute-Networking places cross-domain/provider joins at L4 to avoid L3 lateral edges
SubscriptionSQL	SQL	L3	integration	OPEN	orchestrator disposition under MOD-014, or re-layer	superseded candidate	replace the R1 L3 placement with an L4 integration candidate; never auto-dispose	Pure-Institute-Networking places cross-domain/provider joins at L4 to avoid L3 lateral edges
SubscriptionSQL	Migrations	L3	integration	OPEN	orchestrator disposition under MOD-014, or re-layer	superseded candidate	replace the R1 L3 placement with an L4 integration candidate; never auto-dispose	Pure-Institute-Networking places cross-domain/provider joins at L4 to avoid L3 lateral edges
MessageDeliverySQL	MessageDelivery	L3	integration	OPEN	orchestrator disposition under MOD-014, or re-layer	superseded candidate	replace the R1 L3 placement with an L4 integration candidate; never auto-dispose	Pure-Institute-Networking places cross-domain/provider joins at L4 to avoid L3 lateral edges
MessageDeliverySQL	SQL	L3	integration	OPEN	orchestrator disposition under MOD-014, or re-layer	superseded candidate	replace the R1 L3 placement with an L4 integration candidate; never auto-dispose	Pure-Institute-Networking places cross-domain/provider joins at L4 to avoid L3 lateral edges
MessageDeliverySQL	Migrations	L3	integration	OPEN	orchestrator disposition under MOD-014, or re-layer	superseded candidate	replace the R1 L3 placement with an L4 integration candidate; never auto-dispose	Pure-Institute-Networking places cross-domain/provider joins at L4 to avoid L3 lateral edges
SubscriptionStripeDeliverySQL	SubscriptionStripeDelivery	L3	integration	OPEN	orchestrator disposition under MOD-014, or re-layer	superseded candidate	replace the R1 L3 placement with an L4 integration candidate; never auto-dispose	Pure-Institute-Networking places cross-domain/provider joins at L4 to avoid L3 lateral edges
SubscriptionStripeDeliverySQL	SubscriptionSQL	L3	integration	OPEN	orchestrator disposition under MOD-014, or re-layer	superseded candidate	replace the R1 L3 placement with an L4 integration candidate; never auto-dispose	Pure-Institute-Networking places cross-domain/provider joins at L4 to avoid L3 lateral edges
SubscriptionStripeDeliverySQL	SubscriptionStripeSQL	L3	integration	OPEN	orchestrator disposition under MOD-014, or re-layer	superseded candidate	replace the R1 L3 placement with an L4 integration candidate; never auto-dispose	Pure-Institute-Networking places cross-domain/provider joins at L4 to avoid L3 lateral edges
SubscriptionStripeDeliverySQL	MessageDeliverySQL	L3	integration	OPEN	orchestrator disposition under MOD-014, or re-layer	superseded candidate	replace the R1 L3 placement with an L4 integration candidate; never auto-dispose	Pure-Institute-Networking places cross-domain/provider joins at L4 to avoid L3 lateral edges
SubscriptionStripeDeliverySQL	SQL	L3	integration	OPEN	orchestrator disposition under MOD-014, or re-layer	superseded candidate	replace the R1 L3 placement with an L4 integration candidate; never auto-dispose	Pure-Institute-Networking places cross-domain/provider joins at L4 to avoid L3 lateral edges
CheckoutStripe	Checkout	L4	integration	OPEN	orchestrator disposition under MOD-014, or re-layer	blocked on runtime/compile probe	run CO1 before retaining or promoting the integration	current Checkout seam remains conditional in R1 and 890 adds no semantic proof
WaitingListSQL	WaitingList	L4	integration	OPEN	orchestrator disposition under MOD-014, or re-layer	blocked on runtime/compile probe	run WL1 before retaining or promoting the integration	WaitingListLive tests restore coverage, not package-rent or seam proof
WaitingListMailgun	WaitingList	L4	integration	OPEN	orchestrator disposition under MOD-014, or re-layer	blocked on runtime/compile probe	run WL1 before retaining or promoting the integration	WaitingListLive tests restore coverage, not package-rent or seam proof
WaitingListRemote	WaitingList	L4	integration	OPEN	orchestrator disposition under MOD-014, or re-layer	superseded candidate	retain only as a dormant candidate pending route-contract and deployment proof	zero committed source consumers at 890; native HTTP client is deferred
WaitingListRemote	ServerHTTPClient	L4	integration	OPEN	orchestrator disposition under MOD-014, or re-layer	superseded candidate	retain only as a dormant candidate pending route-contract and deployment proof	zero committed source consumers at 890; native HTTP client is deferred
